Station,Category,Zone,LineCount,TotPlatforms,WeekdayEnEx,SaturdayEnEx,SundayEnEx,TotalEnExCount,Year
East Ham,Local,4,2,2,28892,21142,15053,5.97,2021
Edgware,Local,5,1,3,13123,8024,5980,4.09,2013
Edgware,Local,5,1,3,14411,9642,7424,4.59,2014
Edgware,Local,5,1,3,15005,10187,7636,4.78,2015
Edgware,Local,5,1,3,16517,10643,7739,5.19,2016
Edgware,Local,5,1,3,16719,16719,8271,5.01,2017
Edgware,Local,5,1,3,16327,10326,8214,4.84,2018
Edgware,Local,5,1,3,16121,11223,8267,4.92,2019
Edgware,Local,5,1,3,5836,3110,2309,2.82,2020
Edgware,Local,5,1,3,10794,8555,6459,2.28,2021
Embankment,Destination,1,4,6,59699,57194,35153,20.15,2013
Embankment,Destination,1,4,6,58200,56559,33832,19.66,2014
Embankment,Destination,1,4,6,65684,56970,33593,21.56,2015
Embankment,Destination,1,4,6,83480,65536,39261,26.84,2016
Embankment,Destination,1,4,6,68555,68555,33558,21,2017
Embankment,Destination,1,4,6,68318,50915,34310,20.3,2018
Embankment,Destination,1,4,6,68283,59725,31600,20.96,2019
Embankment,Destination,1,4,6,8495,4074,3313,4.06,2020
Embankment,Destination,1,4,6,35710,43635,27749,8.25,2021
Epping,Local,6,1,2,10008,7228,4007,3.14,2013
Epping,Local,6,1,2,9542,7467,4557,3.07,2014
Epping,Local,6,1,2,10766,6614,4451,3.33,2015
Epping,Local,6,1,2,11971,8075,5455,3.77,2016
Epping,Local,6,1,2,12673,12673,5242,3.78,2017
Epping,Local,6,1,2,13544,9717,6305,4.05,2018
Epping,Local,6,1,2,13528,10139,5816,4.08,2019
Epping,Local,6,1,2,4038,1995,1293,1.91,2020
Epping,Local,6,1,2,8947,7548,4962,1.89,2021
Euston,Gateway,1,2,6,116201,88493,68238,38.03,2013
Euston,Gateway,1,2,6,124775,99619,77678,41.33,2014
Euston,Gateway,1,2,6,126897,100069,82217,42.16,2015
Euston,Gateway,1,2,6,127426,111340,85944,43.1,2016
Euston,Gateway,1,2,6,129541,129541,83168,40.74,2017
Euston,Gateway,1,2,6,128062,97263,82696,39.25,2018
Euston,Gateway,1,2,6,130742,104562,87636,41.09,2019
Euston,Gateway,1,2,6,17288,10948,10409,8.79,2020
Euston,Gateway,1,2,6,68408,77349,61840,15.88,2021
Finchley Central,Local,4,1,3,17332,10709,6619,5.33,2013
Finchley Central,Local,4,1,3,18518,11430,6730,5.68,2014
Finchley Central,Local,4,1,3,18703,11911,7266,5.78,2015
Finchley Central,Local,4,1,3,22833,13443,8036,6.95,2016
Finchley Central,Local,4,1,3,23704,23704,8384,6.86,2017
Finchley Central,Local,4,1,3,28356,14841,9986,8.08,2018
Finchley Central,Local,4,1,3,29118,16199,10582,8.49,2019
Finchley Central,Local,4,1,3,7881,3816,2527,3.72,2020
Finchley Central,Local,4,1,3,17376,11895,7873,3.52,2021
Finchley Road,Metro,2,2,4,30900,21536,16292,9.9,2013
Finchley Road,Metro,2,2,4,31391,21818,16692,10.06,2014
Finchley Road,Metro,2,2,4,31147,21345,16288,9.95,2015
Finchley Road,Metro,2,2,4,31218,21852,16338,10,2016
Finchley Road,Metro,2,2,4,30249,30249,15423,9.13,2017
Finchley Road,Metro,2,2,4,30707,20042,15696,9.12,2018
Finchley Road,Metro,2,2,4,30317,21030,15822,9.19,2019
Finchley Road,Metro,2,2,4,9629,5571,3957,4.7,2020
Finchley Road,Metro,2,2,4,18530,14729,10982,3.91,2021
Golders Green,Local,3,1,5,23149,15644,12319,7.4,2013
Golders Green,Local,3,1,5,25553,17982,14409,8.25,2014
Golders Green,Local,3,1,5,27000,18770,15137,8.7,2015
Golders Green,Local,3,1,5,26621,17780,14435,8.51,2016
Golders Green,Local,3,1,5,26292,26292,14276,7.97,2017
Golders Green,Local,3,1,5,26438,16853,14527,7.9,2018
Golders Green,Local,3,1,5,25850,17754,14354,7.9,2019
Golders Green,Local,3,1,5,8025,4397,3358,3.9,2020
Golders Green,Local,3,1,5,15940,11686,9497,3.33,2021
Green Park,Destination,1,3,6,114426,71893,46978,35.46,2013
Green Park,Destination,1,3,6,129132,85657,45862,39.83,2014
Green Park,Destination,1,3,6,124590,88575,58063,39.55,2015
Green Park,Destination,1,3,6,128583,97547,61648,41.24,2016
Green Park,Destination,1,3,6,126711,126711,54714,37.4,2017
Green Park,Destination,1,3,6,124788,79854,64002,36.79,2018
Green Park,Destination,1,3,6,127457,99030,69069,39.06,2019
Green Park,Destination,1,3,6,18810,12272,9590,9.45,2020
Green Park,Destination,1,3,6,75686,62001,42265,15.94,2021
Harrow & Wealdstone,Metro,5,1,4,15041,9250,6324,4.66,2013
Harrow & Wealdstone,Metro,5,1,4,14836,9090,4847,4.51,2014
Harrow & Wealdstone,Metro,5,1,4,16163,10111,6574,5,2015
Harrow & Wealdstone,Metro,5,1,4,16218,9588,6132,4.96,2016
Harrow & Wealdstone,Metro,5,1,4,15828,15828,6022,4.6,2017
Harrow & Wealdstone,Metro,5,1,4,16096,9308,6330,4.65,2018
Harrow & Wealdstone,Metro,5,1,4,15847,9413,6672,4.66,2019
Harrow & Wealdstone,Metro,5,1,4,6434,3260,1878,3.03,2020
Harrow & Wealdstone,Metro,5,1,4,10293,6911,4585,2.08,2021
Hounslow Central,Local,4,1,2,12349,8337,6294,3.93,2013
Hounslow Central,Local,4,1,2,12557,8638,6502,4.01,2014
Hounslow Central,Local,4,1,2,12389,9773,6240,4.01,2015
Hounslow Central,Local,4,1,2,12086,8008,5962,3.83,2016
Hounslow Central,Local,4,1,2,12503,12503,5951,3.75,2017
Hounslow Central,Local,4,1,2,11956,8077,6331,3.58,2018
Hounslow Central,Local,4,1,2,11899,8480,6314,3.64,2019
Hounslow Central,Local,4,1,2,3948,2456,1708,1.95,2020
Hounslow Central,Local,4,1,2,7174,5768,4375,1.52,2021
King's Cross St. Pancras,Gateway,1,6,8,257682,199503,157612,84.87,2013
